tgl_perawatan,total_jumlah_per_hari
2022-05-25,0
2022-05-26,18
2022-05-27,53
2022-05-28,9
2022-05-29,22
2022-05-30,0
2022-05-31,0
2022-06-01,8
2022-06-02,0
2022-06-03,47
2022-06-04,12
2022-06-05,7
2022-06-06,43
2022-06-07,95
2022-06-08,63
2022-06-09,130
2022-06-10,59
2022-06-11,16
2022-06-12,18
2022-06-13,61
2022-06-14,133
2022-06-15,43
2022-06-16,79
2022-06-17,51
2022-06-18,9
2022-06-19,20
2022-06-20,0
2022-06-21,199
2022-06-22,147
2022-06-23,187
2022-06-24,18
2022-06-25,3
2022-06-26,23
2022-06-27,154
2022-06-28,165
2022-06-29,76
2022-06-30,0
2022-07-01,6
2022-07-02,4
2022-07-03,32
2022-07-04,0
2022-07-05,156
2022-07-06,100
2022-07-07,192
2022-07-08,36
2022-07-09,11
2022-07-10,5
2022-07-11,15
2022-07-12,8
2022-07-13,153
2022-07-14,135
2022-07-15,17
2022-07-16,20
2022-07-17,5
2022-07-18,103
2022-07-19,54
2022-07-20,0
2022-07-21,0
2022-07-22,5
2022-07-23,1
2022-07-24,20
2022-07-25,66
2022-07-26,99
2022-07-27,170
2022-07-28,0
2022-07-29,13
2022-07-30,10
2022-07-31,11
